y_number,t250,t100,t50,t25,t10,t5,t2,t0,wg_number,clustercode,reference_name,pipeline_time,pipeline_date
3201,16,37,41,56,189,214,220,241,WG19-00064,RT015_TL174.16.37.41.56.189.214,RT015_TL174,1157,2019-09-16
Y19-2781,16,37,41,56,189,214,220,241,WG19-00064,RT015_TL174.16.37.41.56.189.214,RT015_TL174,1420,2019-08-18
Y19-2765,16,37,41,56,189,214,220,241,WG19-00064,RT015_TL174.16.37.41.56.189.214,RT015_TL174,1644,2019-08-18
Y19-2851,16,37,41,56,189,214,220,247,WG19-00064,RT015_TL174.16.37.41.56.189.214,RT015_TL174,1247,2019-08-21
1321,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,,
1400,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,,
Y19-1560SP,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,,
Y19-2235,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,,
Y19-2238_G,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,,
Y19-2747SP,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,1644,2019-08-18
Y19-2905-SP,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,1030,2019-08-27
Y19-3152,16,37,41,56,65,71,73,77,WG19-00014,RT015_TL174.16.37.41.56.65.71,RT015_TL174,1504,2019-09-11
3bcbbdbe-3dda-4dfb-8551-a7757de661c7,16,6,7,8,9,10,10,10,WG19-00013,RT015_TL174.16.6.7.8.9.10,RT015_TL174,,
