y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
Y19-2230,RT015_TL174,,3,3,4,5,44,195,201,218,RT015_TL174.3.3.4.5.44.195,2,WG19-00063,2019-12-03 16:00:04.143449,,S,3,3,4,5,44,195,201,218,WG19-00000,1,wg_number;clustercode_frequency;clustercode
Y19-1986,RT015_TL174,,33,64,79,106,141,152,157,167,S,1,WG19-00000,2019-12-03 16:00:04.052593,,S,35,64,79,106,141,152,157,167,WG19-00000,1,t250
81a57dfb-5cac-4ba4-923a-0e4a26cc2706,RT015_TL174,,33,14,15,17,19,21,21,21,S,1,WG19-00000,2019-12-03 16:00:04.056146,,S,9,14,15,17,19,21,21,21,WG19-00000,1,t250
Y19-3123_190910-1557,RT015_TL174,,33,61,76,146,194,220,227,253,S,1,WG19-00000,2019-12-03 16:00:04.059526,,NA,,,,,,,,,,,
Y19-2923_190827-1030,RT015_TL174,,16,37,108,145,193,218,225,249,S,1,WG19-00000,2019-12-03 16:00:04.107424,,NA,,,,,,,,,,,
Y19-1886,RT015_TL174,,1,7,8,47,94,149,154,164,S,1,WG19-00000,2019-12-03 16:00:04.136204,,S,1,7,8,47,138,149,154,164,WG19-00000,1,t10
TC_D989,RT015_TL174,,3,3,4,98,129,138,141,146,S,1,WG19-00000,2019-12-03 16:00:04.148122,,S,3,3,73,98,129,138,141,146,WG19-00000,1,t50
1202,RT015_TL174,,1,1,2,2,60,65,67,70,S,1,WG19-00000,2019-12-03 16:00:04.184460,,S,1,1,2,51,60,65,67,70,WG19-00000,1,t25
121,RT015_TL174,,1,1,2,2,3,67,69,72,S,1,WG19-00000,2019-12-03 16:00:04.185655,,S,1,1,2,53,62,67,69,72,WG19-00000,1,t25;t10
369,RT015_TL174,,1,1,2,2,3,88,91,95,S,1,WG19-00000,2019-12-03 16:00:04.193532,,S,1,1,2,3,82,88,91,95,WG19-00000,1,t25;t10
Y3958,RT015_TL174,,1,1,2,2,153,171,177,189,S,1,WG19-00000,2019-12-03 16:00:04.242388,,S,1,1,2,91,153,171,177,189,WG19-00000,1,t25
Y4210,RT015_TL174,,1,1,2,2,157,175,181,194,S,1,WG19-00000,2019-12-03 16:00:04.243807,,S,1,1,2,3,157,175,181,194,WG19-00000,1,t25
Y4432,RT015_TL174,,1,1,2,2,3,178,184,197,S,1,WG19-00000,2019-12-03 16:00:04.246128,,S,1,1,2,3,160,178,184,197,WG19-00000,1,t25;t10
Y4503,RT015_TL174,,1,1,2,2,162,180,186,199,S,1,WG19-00000,2019-12-03 16:00:04.248220,,S,1,1,2,3,162,180,186,199,WG19-00000,1,t25
Y19-2836_190821-1247,RT015_TL174,,1,1,2,2,192,217,224,248,S,1,WG19-00000,2019-12-03 16:00:04.267659,,NA,,,,,,,,,,,
